Contract_ID,Customer_ID,Car_ID,Contract_length,Insurance_type,Cost_Per_Insurance_Type,Annual_premuim,Contract_Start_date
240521527,23381848,4067704,6.0,Liability Insurance,0.15,,2023-01-11
240521853,23382001,4071609,24.0,Uninsured/Underinsured Motorist,0.1,,2023-06-02
240524319,23382250,4086458,36.0,Classic Car Insurance,0.02,,
240524643,23383511,4089305,36.0,,0.15,19942.95,2022-11-27
240524681,23383650,4092366,42.0,Uninsured/Underinsured Motorist,0.1,37514.89,
240525647,23384139,4095161,,Comprehensive Coverage,0.15,26633.22,2020-12-15
240525968,23385641,4138629,42.0,Uninsured/Underinsured Motorist,0.1,61837.68,
240526944,23387887,4142781,54.0,Personal Injury Protection (PIP),0.15,,
240527293,23389875,4149031,12.0,Uninsured/Underinsured Motorist,0.1,10187.2,2020-02-15
240527863,23393161,4150667,,Uninsured/Underinsured Motorist,0.1,,2020-06-21
240529268,23393574,4163336,,Comprehensive Coverage,0.15,71464.5,2022-10-02
240532040,23393863,4163639,36.0,Comprehensive Coverage,0.15,,
240532323,23394828,4172940,24.0,Liability Insurance,0.15,36712.66,2020-01-02
240532521,23396195,4189482,18.0,Classic Car Insurance,,5162.82,2021-12-28
240534300,23396323,4217643,12.0,Collision Coverage,,,2020-10-21
240534512,23399007,4227872,18.0,,0.15,19350.93,2021-02-13
240535243,23399957,4227959,12.0,,,39562.47,
240535248,23402456,4229176,60.0,Liability Insurance,0.15,33547.95,2021-08-03
240539057,23402982,4242658,,Custom Parts and Equipment (CPE),0.03,,
240539304,23405235,4247597,48.0,Collision Coverage,0.25,160280.35,2023-11-13
240542509,23406624,4271912,,Liability Insurance,0.15,145885.12,2022-07-08
240543975,23406686,4280325,48.0,Liability Insurance,0.15,32630.08,2021-07-16
240545960,23410215,4295414,36.0,Liability Insurance,,,2021-03-13
240546489,23412039,4304121,36.0,Personal Injury Protection (PIP),,42051.05,2020-07-25
240548079,23413112,4313320,48.0,Uninsured/Underinsured Motorist,0.1,63454.46,2020-03-26
240549205,23414339,4322561,30.0,Uninsured/Underinsured Motorist,0.1,26625.34,
240549401,23416817,4322596,30.0,Comprehensive Coverage,,32994.31,2021-04-19
240549526,23418444,4332989,54.0,,0.15,58203.74,2021-07-07
240549864,23419061,4353133,24.0,Gap Insurance,0.05,12301.5,2021-06-04
240549941,23419949,4356841,6.0,Liability Insurance,,6058.32,2020-09-07
240551032,23420535,4366021,12.0,Comprehensive Coverage,0.15,16159.41,2020-01-08
240551187,23422003,4368688,12.0,Liability Insurance,0.15,,2022-12-17
240552365,23423361,4371451,,Custom Parts and Equipment (CPE),0.03,,
240552688,23425394,4375338,,Liability Insurance,,89541.43,2022-07-02
240552811,23426003,4375792,36.0,Uninsured/Underinsured Motorist,0.1,35553.07,2022-05-11
240552959,23429972,4384429,12.0,Uninsured/Underinsured Motorist,0.1,10784.21,
240556460,23432708,4387542,54.0,,,161728.09,2023-04-16
240558978,23432726,4393080,6.0,Gap Insurance,0.05,,2022-08-28
240561539,23436055,4400415,54.0,Comprehensive Coverage,0.15,80340.25,2022-11-02
240565972,23436070,4400799,12.0,Collision Coverage,,26467.42,
240566203,23437084,4412233,42.0,Collision Coverage,0.25,51021.35,2020-02-05
240566321,23442396,4429286,6.0,Collision Coverage,,19335.97,2022-09-17
240567891,23445820,4446149,42.0,Liability Insurance,0.15,32466.13,2020-09-23
240567968,23445923,4471064,48.0,,0.25,,
240568831,23446937,4471367,24.0,Liability Insurance,0.15,9492.64,2020-04-19
240569108,23447522,4488160,,,0.15,16976.92,2021-08-21
240569407,23447744,4491590,24.0,Comprehensive Coverage,0.15,,2022-08-20
240570036,23451462,4500757,60.0,Uninsured/Underinsured Motorist,0.1,33369.17,2020-12-12
240570094,23452063,4504406,18.0,,0.15,28009.83,2020-03-20
240570099,23452622,4513033,36.0,Collision Coverage,0.25,89194.72,2022-07-16
240571845,23454051,4544708,24.0,Liability Insurance,,51242.94,2023-01-27
240572620,23454384,4546760,24.0,,0.15,,2023-08-21
240572904,23455104,4546906,,Custom Parts and Equipment (CPE),0.03,13729.42,2020-09-26
240573976,23457009,4553009,,Personal Injury Protection (PIP),0.15,6207.96,2020-11-09
240575096,23458949,4563937,60.0,Custom Parts and Equipment (CPE),0.03,28298.41,2020-02-26
240577363,23461783,4567026,48.0,,0.15,,2023-06-02
240577377,23461981,4575260,42.0,Classic Car Insurance,0.02,10750.15,2022-06-06
240579168,23462962,4579968,60.0,Liability Insurance,0.15,34906.3,2021-10-03
240580398,23466488,4588879,36.0,Comprehensive Coverage,0.15,14634.95,2022-11-01
240585756,23467549,4589309,12.0,,,5402.66,
240586659,23468978,4598385,18.0,,0.25,57164.3,2021-06-06
240587137,23468991,4600608,36.0,Comprehensive Coverage,0.15,,2021-02-23
240590978,23469016,4601338,36.0,Collision Coverage,0.25,98861.38,2020-08-23
240591722,23469410,4603711,48.0,Collision Coverage,,,2021-05-06
240592450,23469430,4616035,,Comprehensive Coverage,0.15,14969.88,2023-10-18
240593658,23470265,4623060,12.0,Comprehensive Coverage,0.15,10038.28,2021-12-14
240595085,23471789,4634603,,Uninsured/Underinsured Motorist,,2650.43,2023-04-12
240595097,23472094,4652094,,Collision Coverage,0.25,4945.93,2020-02-20
240595729,23473291,4654748,6.0,,0.25,26865.99,2020-06-20
240597537,23474223,4663747,54.0,Classic Car Insurance,0.02,,
240603223,23474372,4679712,,Classic Car Insurance,0.02,,2022-03-15
240604509,23474730,4687107,24.0,,0.25,63395.47,2023-02-21
240604842,23475015,4696227,,Collision Coverage,0.25,36237.79,2022-08-03
240604852,23475652,4697793,18.0,Liability Insurance,0.15,,
240606252,23475795,4700965,36.0,Comprehensive Coverage,0.15,44301.99,2023-08-12
240607562,23476548,4702488,12.0,Collision Coverage,0.25,8649.97,
240608056,23477978,4706461,12.0,Comprehensive Coverage,,24784.71,2022-02-02
240608370,23478042,4708296,36.0,,,55377.38,2022-07-07
240609725,23479651,4720674,60.0,Uninsured/Underinsured Motorist,0.1,,2023-12-06
240612158,23479979,4725330,30.0,Personal Injury Protection (PIP),0.15,44665.41,
240612261,23481398,4730461,30.0,Collision Coverage,0.25,35841.3,2023-07-26
240615319,23481871,4732777,,,0.15,56338.79,2020-05-12
240615919,23484052,4733146,36.0,Comprehensive Coverage,,62920.91,
240616644,23484472,4739722,,Uninsured/Underinsured Motorist,0.1,18395.44,2022-10-14
240617457,23485162,4756064,48.0,Liability Insurance,0.15,,2022-07-22
240617676,23485164,4764977,30.0,,0.05,15415.81,
240618383,23487198,4780405,,Classic Car Insurance,0.02,8765.13,2020-01-08
240619135,23487536,4789036,48.0,Uninsured/Underinsured Motorist,0.1,63201.12,2021-10-25
240623583,23488349,4792282,30.0,Collision Coverage,0.25,39986.84,2021-11-01
240624938,23489714,4800703,30.0,Liability Insurance,0.15,21352.44,2023-07-08
240625102,23490171,4810506,42.0,Liability Insurance,,53811.22,2020-10-22
240626212,23490669,4811068,,Collision Coverage,0.25,33671.8,2022-06-26
240626308,23491255,4832369,48.0,,0.03,9319.38,2022-05-13
240626429,23492404,4849420,6.0,Personal Injury Protection (PIP),0.15,12591.32,2023-08-20
240627099,23492582,4858817,,Comprehensive Coverage,0.15,12784.32,2021-03-18
240629920,23492820,4876306,12.0,Liability Insurance,,7268.83,2021-10-23
240631672,23496604,4882218,18.0,Personal Injury Protection (PIP),0.15,10193.28,2020-10-15
240631730,23498229,4888789,12.0,Personal Injury Protection (PIP),,,2021-08-03
240632609,23498346,4920755,36.0,Personal Injury Protection (PIP),,51794.99,2020-12-18
240632839,23499613,4925731,12.0,Liability Insurance,0.15,28293.78,2021-11-05
240633545,23501471,4933180,6.0,Collision Coverage,0.25,7708.42,
240634563,23502807,4948620,18.0,Liability Insurance,0.15,21407.25,2021-02-19
240635913,23503208,4952671,12.0,,0.15,13682.79,2022-01-07
240636601,23505535,4965682,60.0,Comprehensive Coverage,0.15,94323.54,2021-01-04
240636749,23506844,4969810,12.0,Collision Coverage,0.25,22477.37,2020-01-12
240636798,23507444,4980456,48.0,Collision Coverage,0.25,191302.51,2020-09-13
240636947,23509545,4993446,54.0,Liability Insurance,0.15,53598.3,
240637914,23510479,5001904,24.0,Liability Insurance,0.15,24430.28,
240638475,23510800,5003740,,Personal Injury Protection (PIP),0.15,76793.71,2023-03-12
240640828,23514530,5016436,54.0,Uninsured/Underinsured Motorist,0.1,69685.86,2022-11-23
240641098,23514717,5019937,,,0.15,11386.94,2020-07-27
240642334,23517184,5026374,30.0,Collision Coverage,0.25,57918.07,2022-12-21
240645818,23517793,5026847,60.0,,0.15,,
240647107,23517803,5039420,6.0,Liability Insurance,0.15,12571.97,2021-11-11
240647203,23518120,5053943,24.0,Comprehensive Coverage,0.15,18507.45,
240647699,23518603,5058558,30.0,Gap Insurance,0.05,,2022-02-02
240648729,23518791,5060055,12.0,Personal Injury Protection (PIP),0.15,22300.87,2023-11-06
240650802,23520504,5088773,36.0,Liability Insurance,0.15,17252.31,
240650858,23521568,5105838,30.0,Comprehensive Coverage,0.15,,
240651200,23522004,5117130,6.0,Liability Insurance,,8328.12,2021-09-23
240651466,23522730,5123140,48.0,,,,2020-03-05
240651518,23525776,5123897,48.0,Liability Insurance,,102771.9,2023-03-27
240652044,23527576,5127949,36.0,Personal Injury Protection (PIP),0.15,37312.91,2023-07-22
240652093,23528954,5132322,54.0,Gap Insurance,0.05,32288.55,2021-05-19
240652261,23529405,5137776,24.0,Personal Injury Protection (PIP),,39336.21,2022-05-24
240652656,23529766,5148322,12.0,Collision Coverage,0.25,32604.59,
240653486,23530568,5166423,30.0,Liability Insurance,,39669.17,
240653853,23531361,5169002,6.0,Comprehensive Coverage,0.15,9998.66,2021-07-20
240657762,23532104,5169333,36.0,Collision Coverage,0.25,62914.66,2021-05-28
240659874,23532777,5170007,,Collision Coverage,0.25,,2023-10-20
240660234,23533377,5180332,42.0,,0.25,,
240660807,23534997,5198730,12.0,,0.15,9152.24,
240662011,23535246,5199189,,Comprehensive Coverage,0.15,36503.79,2020-09-06
240662121,23535485,5199404,30.0,Uninsured/Underinsured Motorist,0.1,17338.26,2023-06-15
240664442,23537263,5201286,,Uninsured/Underinsured Motorist,0.1,15860.22,2023-02-06
240666038,23539194,5209108,30.0,Comprehensive Coverage,0.15,12729.3,2022-11-07
240666129,23541344,5209874,60.0,,0.15,43786.12,2023-02-23
240668099,23541481,5212987,,Comprehensive Coverage,0.15,,2022-07-27
240669028,23543080,5214748,36.0,Comprehensive Coverage,,73634.93,2020-05-25
240670731,23543871,5219701,6.0,,0.05,1361.21,2023-10-09
240671443,23543898,5223013,42.0,Uninsured/Underinsured Motorist,,31976.15,
240671813,23544044,5228426,36.0,Liability Insurance,,42443.5,2021-07-22
240672769,23544734,5232439,18.0,Liability Insurance,0.15,36691.94,2020-07-05
240677037,23545049,5244102,48.0,Uninsured/Underinsured Motorist,0.1,24369.0,
240677185,23545262,5250823,54.0,Uninsured/Underinsured Motorist,0.1,,2022-07-08
240677519,23548792,5251542,42.0,Uninsured/Underinsured Motorist,0.1,37566.99,
240678784,23550863,5253804,30.0,Comprehensive Coverage,0.15,,2020-11-03
240679774,23552041,5255985,30.0,,0.02,8757.19,
240682457,23554923,5288019,24.0,Classic Car Insurance,0.02,4846.23,2022-05-04
240683367,23555110,5298315,36.0,Comprehensive Coverage,,59343.78,2021-05-28
240683535,23555722,5314630,,Collision Coverage,0.25,62425.69,2020-10-02
240685425,23556390,5315394,18.0,Comprehensive Coverage,0.15,9948.78,2020-03-07
240685801,23556394,5319035,12.0,Liability Insurance,0.15,24748.44,2021-05-14
240687396,23557184,5345230,54.0,Liability Insurance,0.15,23120.96,
240688461,23559061,5346059,60.0,Liability Insurance,,,2021-02-03
240688493,23559183,5353199,18.0,Liability Insurance,0.15,26706.12,2021-02-08
240688724,23560026,5353636,60.0,,,45780.59,2023-04-27
240688834,23560151,5365763,24.0,Custom Parts and Equipment (CPE),0.03,5636.38,2022-04-12
240688951,23562077,5377223,6.0,,0.25,19369.57,2023-08-13
240692397,23564232,5380511,,,0.15,77053.25,2023-08-20
240692518,23565902,5388940,48.0,Liability Insurance,,73285.93,2021-10-06
240693274,23570241,5394565,48.0,,0.1,26873.22,2023-10-26
240693608,23571442,5406692,30.0,,0.15,16968.3,2023-10-21
240694778,23571832,5407816,42.0,,0.15,21517.21,
240696029,23572908,5414697,18.0,Comprehensive Coverage,,9283.34,2020-03-15
240698702,23573232,5418612,,Uninsured/Underinsured Motorist,0.1,32853.32,2022-11-05
240698906,23575686,5423232,,Comprehensive Coverage,0.15,45254.7,2021-04-24
240700274,23575917,5425730,12.0,Liability Insurance,0.15,13318.2,
240700497,23577477,5428936,30.0,Collision Coverage,0.25,87267.31,2022-09-18
240700697,23578703,5433901,6.0,,0.15,4160.25,2023-01-09
240701143,23578951,5435910,6.0,Liability Insurance,0.15,3833.91,2021-02-08
240702992,23579309,5442866,54.0,Liability Insurance,0.15,52301.12,2023-11-14
240706414,23582247,5457267,,Comprehensive Coverage,,62719.28,2022-10-09
240707753,23582430,5473277,,,0.05,,2023-08-23
240708061,23584383,5480048,36.0,,0.15,71470.48,
240709667,23585262,5487381,42.0,Personal Injury Protection (PIP),0.15,53093.04,2020-04-26
240710747,23586525,5491875,,Comprehensive Coverage,0.15,13212.54,2023-11-04
240712292,23586897,5499912,,,,61145.87,2020-12-17
240712853,23587840,5503915,60.0,,0.25,174500.89,2022-10-21
240714203,23588553,5508082,6.0,Comprehensive Coverage,0.15,9138.28,2020-07-07
240715566,23589061,5511975,12.0,Collision Coverage,,49179.83,2020-03-14
240717772,23589140,5515242,,Comprehensive Coverage,0.15,,
240718540,23589441,5520749,,Uninsured/Underinsured Motorist,0.1,,
240719055,23589843,5535074,18.0,Personal Injury Protection (PIP),0.15,,2023-09-23
240720162,23590112,5536916,,Uninsured/Underinsured Motorist,0.1,42122.87,2020-02-09
240721428,23590213,5542081,6.0,,0.03,1329.72,2020-01-05
240725738,23591769,5544731,30.0,Comprehensive Coverage,0.15,,2023-05-06
240726017,23592668,5573877,,Personal Injury Protection (PIP),0.15,22261.4,2022-12-06
240729962,23593324,5586702,60.0,Collision Coverage,,113233.54,
240730086,23593416,5608975,60.0,Comprehensive Coverage,0.15,110605.56,2020-06-13
240731781,23593691,5640979,24.0,Uninsured/Underinsured Motorist,0.1,35027.99,2023-06-26
240732545,23593692,5648072,36.0,Gap Insurance,0.05,17379.15,2022-10-26
240732812,23594159,5651591,12.0,Uninsured/Underinsured Motorist,,,2021-12-15
240736423,23595850,5651633,60.0,Collision Coverage,0.25,75846.42,
240737066,23596248,5669544,30.0,Personal Injury Protection (PIP),,51565.68,2023-12-20
240737504,23596411,5678580,42.0,,,48057.51,
240737765,23598415,5681019,,Uninsured/Underinsured Motorist,0.1,13554.58,2021-08-27
240739617,23598493,5695333,42.0,,0.15,39388.66,2021-06-23
240739721,23599113,5716942,54.0,Custom Parts and Equipment (CPE),0.03,,2020-12-25
240739794,23599244,5741387,42.0,Liability Insurance,,54300.14,2021-10-06
240741947,23599280,5741817,60.0,Collision Coverage,0.25,156763.78,2020-02-19
240744581,23601322,5763864,24.0,,0.15,24293.19,2021-12-11
240744929,23601493,5764065,48.0,Custom Parts and Equipment (CPE),0.03,12615.52,2022-11-19
240745832,23602083,5768859,,Liability Insurance,0.15,81028.56,2021-12-04
240747505,23604611,5776838,48.0,Liability Insurance,0.15,,2021-07-23
240747940,23605127,5777044,30.0,Collision Coverage,0.25,83648.23,2021-10-10
240749012,23609629,5802498,6.0,,0.1,,2020-06-26
240749673,23610870,5814702,30.0,Personal Injury Protection (PIP),,,2022-10-07
240750488,23613041,5818608,36.0,,0.05,,
240750548,23614174,5820846,24.0,Collision Coverage,0.25,85036.99,2021-05-14
240750978,23614966,5854535,36.0,Uninsured/Underinsured Motorist,0.1,50992.42,
240750999,23615057,5854651,,Personal Injury Protection (PIP),0.15,34535.0,2022-10-27
240751947,23615167,5865360,42.0,Comprehensive Coverage,0.15,80342.19,2020-01-07
240756175,23618427,5878177,12.0,,0.15,27228.85,
240756233,23618922,5879945,6.0,Gap Insurance,0.05,1454.7,
240757803,23620928,5901362,12.0,,0.15,,2022-08-22
240758674,23622491,5908218,,Comprehensive Coverage,,80467.43,2023-10-14
240763098,23623374,5910254,,,,27207.85,
240763365,23623449,5910339,30.0,Uninsured/Underinsured Motorist,0.1,,
240763971,23623996,5928268,24.0,Liability Insurance,0.15,19485.51,2023-04-20
240765061,23624315,5928987,,Personal Injury Protection (PIP),0.15,29897.72,2023-10-12
240765798,23625328,5931164,,Collision Coverage,0.25,,2020-08-17
240765976,23625584,5939677,,Collision Coverage,0.25,59120.9,2022-12-12
240769214,23625771,5942890,12.0,Classic Car Insurance,0.02,1444.62,2023-12-12
240770883,23626284,5946273,30.0,Collision Coverage,,43022.82,2021-06-07
240771103,23626364,5960413,60.0,Liability Insurance,,26671.7,2021-10-24
240771432,23627060,5962624,36.0,Comprehensive Coverage,0.15,,
240772591,23627380,5963330,6.0,Uninsured/Underinsured Motorist,0.1,,
240773691,23628264,5969921,,,,91476.08,
240774313,23631151,6000241,,Custom Parts and Equipment (CPE),0.03,17784.69,2023-04-24
240774348,23631250,6001105,24.0,Comprehensive Coverage,0.15,45418.8,2023-11-21
240776564,23633575,6002253,24.0,Personal Injury Protection (PIP),0.15,33668.38,2021-03-06
240777229,23633651,6007960,,Liability Insurance,0.15,33693.27,2023-12-04
240777330,23633829,6010109,,Liability Insurance,0.15,16301.78,2021-10-28
240777532,23633994,6016831,54.0,Custom Parts and Equipment (CPE),,,
240779645,23635138,6019910,18.0,Collision Coverage,0.25,22878.82,2023-03-16
240780565,23636383,6029059,48.0,Collision Coverage,0.25,,
240781940,23636640,6046045,30.0,Liability Insurance,0.15,57647.22,2023-08-08
240782193,23637156,6053094,42.0,,0.15,,2023-03-12
240783415,23639682,6055250,,,,,2020-10-02
240783426,23640068,6099131,48.0,Liability Insurance,0.15,58173.71,2022-02-20
240783912,23640402,6108862,12.0,Uninsured/Underinsured Motorist,0.1,19027.98,2020-02-22
240784873,23640836,6113914,18.0,Liability Insurance,,13331.76,2023-01-21
240786972,23640956,6114129,,Liability Insurance,0.15,44284.71,2023-05-22
240792451,23641184,6120524,60.0,Liability Insurance,0.15,,2023-05-20
240794048,23641517,6120543,24.0,,,70976.01,2022-08-16
240797304,23642961,6129019,6.0,Comprehensive Coverage,0.15,,
240797559,23643622,6143244,48.0,Uninsured/Underinsured Motorist,0.1,65534.1,
240798626,23647474,6147062,42.0,Comprehensive Coverage,0.15,,
240798815,23647831,6149697,54.0,Collision Coverage,0.25,,
240798904,23650176,6155061,54.0,,0.25,50657.22,
240799359,23651454,6162766,,Uninsured/Underinsured Motorist,0.1,4430.57,2020-08-28
240800056,23651832,6185163,36.0,Collision Coverage,0.25,,
240800558,23651871,6189038,42.0,Personal Injury Protection (PIP),,37466.85,2022-12-23
240800687,23652143,6192610,24.0,Uninsured/Underinsured Motorist,0.1,26012.53,2021-05-25
240801555,23653265,6193914,,Comprehensive Coverage,0.15,23099.91,2020-01-21
240802522,23653389,6196295,60.0,Gap Insurance,0.05,14029.39,2023-10-17
240803348,23653456,6208423,12.0,Liability Insurance,,,2022-08-25
240805361,23653762,6218301,12.0,Comprehensive Coverage,,,2021-12-12
240805607,23657984,6235117,,,,24952.3,2022-03-13
240806463,23658011,6235668,6.0,Collision Coverage,0.25,11351.78,2020-07-12
240807456,23658320,6238153,,Uninsured/Underinsured Motorist,0.1,,2022-09-05
240807694,23658418,6239779,54.0,Collision Coverage,,125977.99,2021-01-09
240810260,23660375,6244535,48.0,Personal Injury Protection (PIP),0.15,55249.45,2020-06-10
240811087,23660743,6259466,12.0,Uninsured/Underinsured Motorist,0.1,10031.68,2023-02-05
240811313,23661155,6268149,60.0,Personal Injury Protection (PIP),,,
240811446,23661542,6290398,12.0,Liability Insurance,0.15,16702.58,2023-07-28
240819707,23662068,6300682,36.0,,,39686.43,2021-01-01
240820025,23662567,6301917,42.0,Collision Coverage,0.25,143324.58,2021-03-02
240820747,23663557,6303145,42.0,,,42518.28,2020-08-06
240820963,23664948,6311779,6.0,Liability Insurance,,2832.43,2021-01-03
240821828,23666799,6326946,18.0,Comprehensive Coverage,0.15,22576.51,2022-08-25
240822390,23669288,6336758,6.0,Gap Insurance,,3270.03,2020-01-04
240822416,23669536,6337519,6.0,Classic Car Insurance,0.02,1188.93,2023-02-16
240822748,23671516,6345387,18.0,Uninsured/Underinsured Motorist,0.1,15235.29,
240823181,23672165,6358950,30.0,,0.15,19107.5,2022-10-23
240823459,23672943,6373308,54.0,Liability Insurance,0.15,119068.84,2022-03-28
240825682,23673068,6376183,6.0,Classic Car Insurance,0.02,1295.33,2020-06-02
240826672,23675137,6376885,30.0,Comprehensive Coverage,0.15,58081.98,2022-05-10
240826919,23675968,6425557,24.0,,0.1,23023.19,2023-07-19
240827483,23677370,6433189,60.0,Liability Insurance,0.15,,2020-05-07
240828112,23679304,6437392,,Liability Insurance,0.15,35734.04,2022-02-07
240829652,23679763,6441998,,Comprehensive Coverage,0.15,,
240830783,23679976,6447168,42.0,Collision Coverage,0.25,52373.37,
240832078,23681586,6453843,6.0,,0.15,4545.21,
240834857,23686649,6461448,24.0,,,26717.02,2020-07-03
240835514,23686722,6473409,60.0,Liability Insurance,0.15,,2023-01-25
240835525,23686948,6485128,18.0,Uninsured/Underinsured Motorist,0.1,14715.75,2020-08-08
240835785,23687685,6485318,30.0,Personal Injury Protection (PIP),,15694.81,2023-09-25
240836625,23689704,6498204,36.0,Comprehensive Coverage,0.15,51318.05,2022-12-07
240836899,23689746,6516084,54.0,,0.1,,2020-01-26
240838255,23691236,6518203,12.0,Collision Coverage,0.25,35576.82,
240838472,23692445,6538038,54.0,,0.05,20163.44,2021-12-10
240840161,23692911,6548528,54.0,Personal Injury Protection (PIP),0.15,,2022-08-14
240840402,23696060,6553271,12.0,Uninsured/Underinsured Motorist,0.1,8425.27,2020-11-22
240841229,23696756,6553626,,Liability Insurance,0.15,,2020-08-19
240843094,23697850,6556728,24.0,Collision Coverage,0.25,29671.33,2023-12-27
240843684,23701649,6558520,,Comprehensive Coverage,0.15,116669.29,
240844037,23702925,6564108,6.0,Custom Parts and Equipment (CPE),,1714.99,2020-06-23
240845331,23704763,6577289,,Collision Coverage,0.25,,
240850024,23705828,6581702,54.0,Uninsured/Underinsured Motorist,0.1,68407.23,2022-03-26
240850039,23707653,6589298,6.0,Collision Coverage,,13270.29,2022-12-12
240852247,23708186,6598409,18.0,Collision Coverage,,37583.26,2022-05-15
240853494,23709654,6632676,42.0,Comprehensive Coverage,0.15,,
240853566,23711497,6637326,6.0,Gap Insurance,0.05,3815.56,2020-08-26
240855708,23715507,6651269,42.0,Uninsured/Underinsured Motorist,,23620.02,
240855807,23716265,6651823,,Liability Insurance,0.15,71527.79,2021-10-04
240855871,23716540,6661562,6.0,Comprehensive Coverage,,6367.95,2022-08-26
240858772,23717222,6663441,36.0,Personal Injury Protection (PIP),0.15,41175.4,2021-07-03
240859660,23717676,6671803,36.0,Collision Coverage,0.25,124783.24,2021-09-21
240860949,23718064,6673450,30.0,Collision Coverage,0.25,54725.21,2021-05-13
240861248,23718703,6689432,54.0,Liability Insurance,0.15,44383.36,2021-11-23
240861424,23720343,6706342,,Liability Insurance,,26211.16,
240862002,23721661,6709181,18.0,Uninsured/Underinsured Motorist,,8390.7,
240862503,23723705,6709450,60.0,Liability Insurance,0.15,102107.4,2021-11-06
240865018,23725042,6715461,30.0,Uninsured/Underinsured Motorist,0.1,39832.49,2022-03-01
240865196,23725740,6736671,60.0,,,,2023-12-17
240865722,23727675,6746945,24.0,Collision Coverage,0.25,72080.96,2020-06-27
240867299,23727943,6757549,,,0.15,,2021-09-27
240867675,23728928,6782958,,Collision Coverage,,99448.45,2021-03-27
240868041,23730330,6783021,48.0,Liability Insurance,,,2021-07-25
240868788,23730430,6783581,,Gap Insurance,0.05,,2022-02-28
240869186,23732584,6799391,24.0,Liability Insurance,0.15,,2021-08-04
240869319,23733848,6803807,60.0,,0.15,43346.04,2022-01-27
240872055,23736975,6822728,42.0,Liability Insurance,,91882.64,2021-09-05
240872868,23738470,6842824,36.0,Liability Insurance,0.15,30032.22,2020-10-23
240873951,23739820,6843900,18.0,Liability Insurance,0.15,36795.24,2020-03-18
240874076,23740096,6853365,,Liability Insurance,0.15,19049.33,2023-08-15
240875036,23742503,6871595,60.0,Classic Car Insurance,,17621.86,
240875102,23742659,6891199,,Gap Insurance,,,2020-07-03
240876015,23743942,6896573,30.0,Collision Coverage,0.25,22591.17,2021-02-18
240876714,23745028,6905902,,,0.1,,2020-01-04
240877158,23745149,6906647,18.0,,0.15,,2020-04-08
240877173,23746511,6911767,12.0,Custom Parts and Equipment (CPE),0.03,5156.51,2021-02-03
240878844,23746546,6913543,12.0,Custom Parts and Equipment (CPE),0.03,2717.08,2020-12-24
240882568,23748747,6914035,42.0,Classic Car Insurance,0.02,10161.01,2020-01-05
240886217,23749227,6915192,,Liability Insurance,0.15,67887.97,2020-12-01
240887025,23749682,6926172,18.0,,0.03,4313.69,2023-07-09
240887122,23749936,6929906,42.0,,0.15,29000.38,2022-09-01
240887775,23751187,6942356,18.0,Gap Insurance,0.05,4697.17,2021-06-12
240889348,23751843,6943716,54.0,Liability Insurance,,,2023-10-26
240891454,23756638,6946694,,Classic Car Insurance,,13325.22,
240892545,23756646,6961369,18.0,Liability Insurance,,34766.91,2021-12-23
240892719,23756657,6969471,24.0,Uninsured/Underinsured Motorist,,10433.14,
240894573,23756665,6969746,54.0,Uninsured/Underinsured Motorist,0.1,84923.14,2022-01-23
240896127,23757069,6971542,,Collision Coverage,0.25,,2023-03-12
240896746,23757818,6974663,30.0,Gap Insurance,0.05,14320.02,2021-03-10
240896800,23759836,6981201,54.0,Liability Insurance,0.15,113981.19,2021-10-03
240899888,23760069,6982776,30.0,,0.1,45345.47,2020-04-24
240900534,23761034,7011076,30.0,,0.15,53022.28,
240900953,23762874,7012388,30.0,Collision Coverage,0.25,21461.56,2022-03-06
240901990,23763540,7025793,36.0,Uninsured/Underinsured Motorist,0.1,27090.12,
240903189,23763848,7026318,18.0,,0.25,,2021-08-15
240903628,23764016,7031265,42.0,Collision Coverage,0.25,,2023-10-20
240904063,23764551,7038185,54.0,,0.25,29515.37,2022-02-05
240904624,23764718,7043508,36.0,Uninsured/Underinsured Motorist,0.1,36546.32,2020-03-06
240907211,23766959,7044431,,Comprehensive Coverage,0.15,,2023-12-22
240907576,23767424,7066452,12.0,,0.15,29687.48,2022-10-02
240909367,23767720,7070507,24.0,Liability Insurance,,,2023-10-06
240909459,23768957,7075028,36.0,Liability Insurance,0.15,54319.69,2021-09-02
240910726,23769078,7076374,12.0,Uninsured/Underinsured Motorist,,10493.83,2023-08-15
240910985,23771729,7081671,,,,5869.59,2023-03-05
240912996,23771828,7084391,12.0,Comprehensive Coverage,0.15,24832.25,2020-10-25
240913527,23772147,7088480,42.0,Gap Insurance,0.05,,
240914083,23773093,7089752,6.0,Liability Insurance,0.15,12452.26,
240914755,23773997,7094416,42.0,Liability Insurance,0.15,23661.91,2022-01-24
240915357,23775796,7101175,30.0,Collision Coverage,0.25,45219.91,2021-11-05
240918375,23776617,7110727,48.0,Liability Insurance,,,2022-04-08
240921794,23778829,7117651,42.0,Gap Insurance,0.05,15598.37,2022-09-07
240923083,23779647,7124295,6.0,Gap Insurance,0.05,,2022-04-17
240923237,23782979,7127068,60.0,Gap Insurance,0.05,6132.34,2020-08-13
240923386,23784449,7136600,,Gap Insurance,,15541.61,2022-05-08
240925704,23784623,7139420,12.0,,0.25,31746.48,2021-04-15
240927566,23785380,7142332,30.0,Collision Coverage,0.25,71301.84,
